"id_obs","possibly_sensitive","lang","conversation_id","type","text","author_id","retweet_count","reply_count","like_count","quote_count","impression_count","id","created_at","in_reply_to_user_id","error","TOXICITY","SEVERE_TOXICITY","INSULT_EXPERIMENTAL","THREAT_EXPERIMENTAL","country","INSULT","THREAT","date"
560203,FALSE,"es",1295460282978807808,"retweeted","Volverán x las laterales y no x Corrientes, para meterse en MI banco, MI panadería, MI verdulería, MI vereda, dejando el virus con sus manos y pies apestosos #YoNoMarcho",448400820,0,0,0,0,0,1295460282978807808,"2020-08-17T20:39:34.000Z",NA,"No Error",0.33504707,0.020515325,0.37619758,0.012078222,"Argentina",NA,NA,2020-08-17
554612,FALSE,"es",1295452224022286336,"retweeted","San Martín llorando #YoNoMarcho #17AContagiarse #LaMarchaDeLosHDP #SanMartin #17Agosto #Argentina",254727702,0,0,2,0,0,1295452224022286336,"2020-08-17T20:07:33.000Z",NA,"No Error",0.36095104,0.12546301,0.3393024,0.028206514,"Argentina",NA,NA,2020-08-17
284534,FALSE,"es",1289951242442031104,"retweeted","@carmen_hertz @Carabdechile @Emol @Cooperativa @biobio @latercera Honorable, las fuerzas policiales y militares tienen una línea de mando, por qué ir por Pérez si es un ministro de #Piñera ? es un Estado racista criminalizador de la Protesta y ustedes Honorables son parte de ello junto al poder judicial #QueSeVayanTodos",1454600984,0,0,0,0,0,1290173854019538944,"2020-08-03T06:33:11.000Z",351810153,"No Error",0.36095104,0.02449106,0.40420914,0.04167421,"Argentina",NA,NA,2020-08-03
321013,FALSE,"es",1296932419615043584,"retweeted","Como a los macristas su ""lider"" se fue y los abandonó, ahora salen con el #QueSeVayanTodos",705538482786213888,2,2,1,0,0,1296932419615043584,"2020-08-21T22:09:19.000Z",NA,"No Error",0.24763705,0.01806218,0.24424846,0.0287245,"Argentina",NA,NA,2020-08-21
357292,FALSE,"es",1297219729384497152,"retweeted","@EstelaTramonti2 El Diputado Mendocino JOSE LUIS RAMON ENTREGO SU VOTO A LA REFORMA JUDICIAL,para LA IMPUNIDAD POLITICA.              #QueSeVayanTodos",2796921028,0,0,0,0,0,1297242409361973248,"2020-08-22T18:41:06.000Z",1258896530913796096,"No Error",0.25462922,0.01986976,0.24928534,0.05721026,"Argentina",NA,NA,2020-08-22
296952,FALSE,"es",1296869584641851392,"retweeted","Vamos a tener que pelear contra piqueteros, patoteros y delincuentes (soltados en cuarentena) e  impunes pero el helicóptero en el cielo se verá. #QueSeVayanTodos",759522872683618304,1,0,1,0,0,1296869584641851392,"2020-08-21T17:59:38.000Z",NA,"No Error",0.37694603,0.112294696,0.4196762,0.34804323,"Argentina",NA,NA,2020-08-21
356989,FALSE,"es",1297171029782138880,"retweeted","@guzmansantic Vivirá en un universo paralelo? Para qué publica el saludo? Intentara un pedido de auxilio en código? Inexplicable conducta del #PeorPresidenteDeLaHistoria #QueSeVayanTodos",1139001962828095488,1,0,0,0,0,1297225606556520448,"2020-08-22T17:34:20.000Z",4750706118,"No Error",0.31132057,0.016254602,0.38406035,0.01254427,"Argentina",NA,NA,2020-08-22
294173,FALSE,"es",1296859304268636160,"retweeted","@GoldbergVariat2 #QueSeVayanTodos  ¡AHORA! #Tolerancia0ACorruptos",1009163955057643520,0,0,1,0,0,1296859981959094272,"2020-08-21T17:21:28.000Z",1071109557131362304,"No Error",0.28087774,0.022322904,0.30797598,0.09009721,"Argentina",NA,NA,2020-08-21
458353,FALSE,"es",1296440061605679104,"retweeted","@ricardo82608311 @EduardoVenosi Seria bueno que se diera cuenta y no solo eso que vengan a la marchas  porque son la causa de que estén estos corruptos en el poder #26ATodosAlCongreso  #26ATodosAlCongreso #GolpeDeEstadoK",1260973466183966720,7,1,5,0,0,1296527117535019008,"2020-08-20T19:18:47.000Z",1177007149546954752,"No Error",0.33836752,0.023076924,0.4125297,0.058826666,"Argentina",NA,NA,2020-08-20
362124,FALSE,"es",1297574420677038080,"retweeted","El honrado defiende a su país, el ingenuo a su partido, y el corrupto a su ladrón. #QueSeVayanTodos",138560606,0,0,0,0,0,1297574420677038080,"2020-08-23T16:40:24.000Z",NA,"No Error",0.37751234,0.023076924,0.4596616,0.06238277,"Argentina",NA,NA,2020-08-23
289123,FALSE,"es",1295141263809884160,"retweeted","#RompanLaCuarentena #QueSeVayanTodos Basta de votar los mismos candidatos que el sistema te impone cada cuatro años para pelearnos entre nosotros, los mismos que no representan los intereses argentinos, los mismos que no respetan la Constitución. Deciles Basta.",109420782,0,0,2,0,0,1295141263809884160,"2020-08-16T23:31:54.000Z",NA,"No Error",0.25462922,0.017674843,0.26196828,0.010162249,"Argentina",NA,NA,2020-08-16
524105,FALSE,"es",1295403288456769536,"retweeted","✌🏾Distancia social posterior al marcha con los giles... #YoNoMarcho",1096508084455907328,1,0,1,0,0,1295403288456769536,"2020-08-17T16:53:06.000Z",NA,"No Error",0.2359567,0.005760193,0.18977246,0.0062785195,"Argentina",NA,NA,2020-08-17
364335,FALSE,"es",1297916936429412352,"retweeted","@madorni Su computadora anda para la mierda , en Arg comprar una notebook nueva sale no menos de $50.000 , el sistema perverso la OBLIGA a tener q acceder a tecnología q para muchos es inalcanzable, y no tiene otro camino  para asistir y aprender. #26ATodosAlCongreso .#QueSeVayanTodos",1118048507213094912,0,1,1,0,0,1297922535678283776,"2020-08-24T15:43:41.000Z",50404817,"No Error",0.3977292,0.056527592,0.40243408,0.012233571,"Argentina",NA,NA,2020-08-24
29186,FALSE,"es",1295113714631356416,"retweeted","¿Sos del 41%? Seguime y te sigo 💪🏻💪🏻💪🏻 #GobiernoDePayasos #LiberenASabrina #17AYoVoy #17AOcupemosLasCalles #17APorLaRepublica",3414199565,0,0,1,0,0,1295113714631356416,"2020-08-16T21:42:26.000Z",NA,"No Error",0.37795907,0.023076924,0.4596616,0.0097738765,"Argentina",NA,NA,2020-08-16
300005,FALSE,"es",1296853068139593728,"retweeted","@desclasada_ A mí tampoco. Que renuncien. #QueSeVayanTodos",1036459513065492480,0,0,0,0,0,1296875083777138688,"2020-08-21T18:21:29.000Z",165838203,"No Error",0.21508642,0.016964722,0.16480011,0.114629425,"Argentina",NA,NA,2020-08-21
286336,FALSE,"es",1292438317691273216,"retweeted","@elieve14 Esto no es derecha versus izquierda amiga, casi la totalidad de los políticos de ese parlamento deben irse!!!!!!! #QueSeVayanTodos",1194804404010049536,0,0,0,0,0,1292557661339254784,"2020-08-09T20:25:35.000Z",184889139,"No Error",0.25462922,0.016383713,0.26395,0.039947584,"Argentina",NA,NA,2020-08-09
110724,FALSE,"es",1295435781792817152,"retweeted","Cabildo y Juramento hasta las pelotas #17AJuntosContraLaImpunidad",60326391,1,1,2,0,0,1295435781792817152,"2020-08-17T19:02:13.000Z",NA,"No Error",0.3389984,0.02077355,0.19967617,0.012751401,"Argentina",NA,NA,2020-08-17
403772,FALSE,"es",1.296133430133e+18,"retweeted","No darles tregua #TraicionALaPatria #26ATodosAlCongreso #CFKLadronaDeLaNacionArgentina #PresaTeQueremos #Renuncia del #GobiernoCriminalyCorrupto #BastaYa",188483102,0,0,0,0,0,1.296133430133e+18,"2020-08-19T17:14:25.000Z",NA,"No Error",0.39231625,0.08069076,0.46625584,0.026997874,"Argentina",NA,NA,2020-08-19
