"id_obs","possibly_sensitive","lang","conversation_id","type","text","author_id","retweet_count","reply_count","like_count","quote_count","impression_count","id","created_at","in_reply_to_user_id","error","TOXICITY","SEVERE_TOXICITY","INSULT_EXPERIMENTAL","THREAT_EXPERIMENTAL","country","INSULT","THREAT","date"
555954,FALSE,"es",1295453740028309504,"retweeted","Cuatro años de gobierno no les alcanzó para desparramar el odio q tienen adentro y que  los grandes pensadores les sembraron a los TERMOCEFALOS. Eso si los q convocaron a la ""espontaneidad"" fueron?  Idiotas útiles #YoNoMarcho",614309507,1,0,0,0,0,1295453740028309504,"2020-08-17T20:13:34.000Z",NA,"No Error",0.64447093,0.23224458,0.7218519,0.012906751,"Argentina",NA,NA,2020-08-17
48567,FALSE,"es",1297296793382858752,"retweeted","Che que pasó con #BrancatelliPelotudo #QueGobiernoDeMierda #QueSeVayanTodos #PreparaElHelicoptero #GobiernoDePayasos #GobiernoDeInutiles que ya no figuran ni entre las 30 tendencias en Argentina?",329380408,2,2,5,0,0,1297296793382858752,"2020-08-22T22:17:12.000Z",NA,"No Error",0.6491204,0.45895407,0.6798578,0.027861187,"Argentina",NA,NA,2020-08-22
300352,FALSE,"es",1296876594770976768,"retweeted","@SantiCafiero Ñoqui malnacido, sos tan culpable como la chorra de tu ama #JusticiaporSolange #InfectaduraK #QueSeVayanTodos",391699243,0,0,2,0,0,1296876594770976768,"2020-08-21T18:27:29.000Z",42637609,"No Error",0.76197964,0.45895407,0.8032227,0.13211988,"Argentina",NA,NA,2020-08-21
53548,FALSE,"es",1298748711053529088,"retweeted","@robdnavarro @clarincom Si pelotudo ensobrado, sos parte de este #GobiernoDePayasos queriendo meter miedo, y sabes que? no somos boludos ni le tenemos miedo, y te digo mas prefiero el Covid19 a este gobierno de mierda del cual sos parte!!! Se acabó !!!",179135573,0,0,0,0,0,1298990886844428288,"2020-08-27T14:28:56.000Z",593789869,"No Error",0.7510937,0.45895407,0.7804726,0.054624002,"Argentina",NA,NA,2020-08-27
534322,FALSE,"es",1295424332475371520,"retweeted","#YoNoMarcho hoy se juntan los odiadores, los pro vida, los genocidas, los gorilas, toda la mierda de está sociedad",1226535086226575360,7,0,2,0,0,1295424332475371520,"2020-08-17T18:16:43.000Z",NA,"No Error",0.71760553,0.35368225,0.6991143,0.030623792,"Argentina",NA,NA,2020-08-17
43875,FALSE,"es",1295879660861927424,"replied_to","@LANACION Que el gobierno se prepare.nadie es impu e eternamente .el 13 salimos de nuevo.#GobiernoDeMierda #GobiernoDePayasos",222518080,0,0,0,0,0,1295881928533585920,"2020-08-19T00:35:02.000Z",33989170,"No Error",0.62136006,0.3498543,0.65129566,0.024062606,"Argentina",NA,NA,2020-08-19
316340,FALSE,"es",1296917098824957952,"retweeted","#QueSeVayanTodos que gobierno de mierda..",843789222,0,0,0,0,0,1296917098824957952,"2020-08-21T21:08:26.000Z",NA,"No Error",0.6989911,0.23224801,0.66500133,0.018019408,"Argentina",NA,NA,2020-08-21
294741,FALSE,"es",1296861598850658304,"retweeted","Asesinos, ladrones, corruptos, delirantes, gritones, ordinarios, burros.  #QueSeVayanTodos",1074776627429736448,1,0,2,0,0,1296861598850658304,"2020-08-21T17:27:54.000Z",NA,"No Error",0.7510937,0.52891463,0.7827088,0.34804323,"Argentina",NA,NA,2020-08-21
102467,FALSE,"es",1295186225821884416,"retweeted","@geaelea Anticuarentena? No, femibolche ridícula, es la marcha antidelincuentes kks! #17AJuntosContraLaImpunidad",391699243,2,0,3,0,0,1295424760109817856,"2020-08-17T18:18:25.000Z",276743341,"No Error",0.65996873,0.45895407,0.68668073,0.0287245,"Argentina",NA,NA,2020-08-17
303077,FALSE,"es",1296883188929888256,"retweeted","@AleGomezFabio si, este hdp también #QueSeVayanTodos",75095057,0,0,0,0,0,1296883381708435456,"2020-08-21T18:54:27.000Z",1103921910,"No Error",0.7252971,0.45895407,0.7418356,0.27243137,"Argentina",NA,NA,2020-08-21
310669,FALSE,"es",1296900871800979456,"replied_to","#QueSeVayanTodos que pateticos que son,,,,, vayan vayan, asi caen como moscas..... ratas inmundas, cerebros quemados...... el dia que salgamos nosotros van a ver lo que es una manifestación",958827911565455360,0,0,0,0,0,1296900871800979456,"2020-08-21T20:03:57.000Z",NA,"No Error",0.7570315,0.50703704,0.78882504,0.34804323,"Argentina",NA,NA,2020-08-21
36100,FALSE,"es",1295034646456086528,"retweeted","@ViqueDani @luisnovaresio @lilianachi Otra imbecilidad más del #GobiernoDePayasos",893284975193329664,0,0,0,0,0,1295179414398017536,"2020-08-17T02:03:30.000Z",1473455190,"No Error",0.6308517,0.16960317,0.68668073,0.008311004,"Argentina",NA,NA,2020-08-17
19831,FALSE,"es",1295068507965722624,"retweeted","#GobiernoDePayasos . Creo que ya lo he visto a TODO!! IMPOSIBLE DE CREER!!! Son de lo peor HDP!!!! @alferdez",2534029389,0,0,0,0,0,1295068507965722624,"2020-08-16T18:42:48.000Z",NA,"No Error",0.78855824,0.50703704,0.7967344,0.022681303,"Argentina",NA,NA,2020-08-16
41472,FALSE,"es",1295433619843014656,"quoted","#YoNoMarcho porque soy un vago inútil, que no quiero laburar y vivo del plan mejor que vos boludo laburante que me mantenes #GobiernoDePayasos #GobiernoCriminal #GobiernoDeCorruptos #CFKAsesina #LadronaDeLaNacionArgentina",169062778,0,0,1,0,0,1295433619843014656,"2020-08-17T18:53:37.000Z",NA,"No Error",0.7105462,0.45895407,0.7497506,0.04718852,"Argentina",NA,NA,2020-08-17
189481,FALSE,"es",1295475086854623232,"retweeted","Pero que imbeciles son los anticuarentena!!!#17AJuntosContraLaImpunidad",733421404918546432,0,0,1,0,0,1295475086854623232,"2020-08-17T21:38:24.000Z",NA,"No Error",0.6744087,0.06488878,0.72756535,0.00814271,"Argentina",NA,NA,2020-08-17
