"id_obs","possibly_sensitive","lang","conversation_id","type","text","author_id","retweet_count","reply_count","like_count","quote_count","impression_count","id","created_at","in_reply_to_user_id","error","TOXICITY","SEVERE_TOXICITY","INSULT_EXPERIMENTAL","THREAT_EXPERIMENTAL","country","INSULT","THREAT","date"
2825625,FALSE,"es",1185385829524541440,"retweeted","La Propiedad publica y privada tiene que ser dañada para que escuchen al pueblo ? #metrosantiago #ParoNacionalYa  #EvasionMasivaTodoElDia",1098241949067345920,0,1,2,0,0,1185385829524541440,"2019-10-19T02:42:59.000Z",NA,"No Error",0.05230548,0.004711151,0.029493837,0.010472948,"Chile",NA,NA,2019-10-19
2677850,FALSE,"es",1185297348240564224,"retweeted","Animo para todas las personas que están trabando de llegar a sus hogares 💫💫💫 #EvasionMasivaTodoElDia",70867768,1,0,1,1,0,1185297348240564224,"2019-10-18T20:51:24.000Z",NA,"No Error",0.041172907,0.0049972534,0.017420914,0.010214032,"Chile",NA,NA,2019-10-18
1745966,FALSE,"es",1186310122336858112,"retweeted","#EstoPasaEnChile el gobierno incapaz de recuperar las confianzas. Aunque esto termine será muy difícil, pq no confiamos en las instituciones",2932218004,0,0,0,0,0,1186310122336858112,"2019-10-21T15:55:48.000Z",NA,"No Error",0.07291982,0.0018978119,0.06023245,0.005861019,"Chile",NA,NA,2019-10-21
3358288,FALSE,"es",1187830083735752704,"retweeted","Llegamos hasta los Tajamares no más, no se podía seguir avanzando #LaMarchaMasGrandeDeChile",2376284239,0,0,1,1,0,1187843395638697984,"2019-10-25T21:28:29.000Z",2376284239,"No Error",0.020231359,0.0012207031,0.014314918,0.006051969,"Chile",NA,NA,2019-10-25
95931,FALSE,"es",1185634185245089792,"retweeted","Como.cresta ahora se vendra la gente se retiran todos los buses.😡 #ChileDesperto",1097645820348940288,0,0,0,0,0,1185634185245089792,"2019-10-19T19:09:52.000Z",NA,"No Error",0.03639866,0.0020885468,0.022448512,0.0062526283,"Chile",NA,NA,2019-10-19
300110,FALSE,"es",1185752937034911744,"retweeted","#ChileDespertó Colombia pa cuando?",136146500,0,0,0,0,0,1185752937034911744,"2019-10-20T03:01:45.000Z",NA,"No Error",0.032627538,0.0025558472,0.018001022,0.0068869707,"Chile",NA,NA,2019-10-20
2986398,FALSE,"es",1187015985229905920,"retweeted","#ChileViolatesHumanRights recuerden que si el tribunal constitucional quiere, niega todo lo que piñera anuncia. Como lo han hecho toda la vida. #Bienvenidos13 ahí esta el problema la constitución que le niega los beneficios sociales a la gente.",1049757160551444480,0,0,0,0,0,1187015985229905920,"2019-10-23T14:40:39.000Z",NA,"No Error",0.121732734,0.008125305,0.0820023,0.007754337,"Chile",NA,NA,2019-10-23
1277248,FALSE,"es",1187761893936685056,"retweeted","Jjajajajaja “esta hueá es innecesaria “ , open mic en Canal 13 #ChileQuiereCambios #Bienvenidos",243489160,0,0,1,0,0,1187761893936685056,"2019-10-25T16:04:37.000Z",NA,"No Error",0.13561769,0.0052261353,0.04090862,0.0063367756,"Chile",NA,NA,2019-10-25
14517,FALSE,"es",1185578633957642240,"retweeted","Que se escuche el descontento!! #ChileDesperto #CACEROLAZONACIONAL",329208238,0,0,0,0,0,1185578633957642240,"2019-10-19T15:29:07.000Z",NA,"No Error",0.08953904,0.005302429,0.04090862,0.008000307,"Chile",NA,NA,2019-10-19
2818594,FALSE,"es",1185382427432230912,"replied_to","Esto ya es delincuencia .......😢🥺 #EvasionMasivaTodoElDia",2282630288,0,0,1,0,0,1185382427432230912,"2019-10-19T02:29:28.000Z",NA,"No Error",0.11140333,0.00919342,0.043250903,0.020782012,"Chile",NA,NA,2019-10-19
1315090,FALSE,"es",1188103731801444352,"quoted","No habrá normalidad hasta que haya una nueva #Constitucion2020 #ChileQuiereCambios",1186038133000945664,0,0,0,0,0,1188103731801444352,"2019-10-26T14:42:58.000Z",NA,"No Error",0.022139108,0.0013637543,0.015720926,0.006330303,"Chile",NA,NA,2019-10-26
2683522,FALSE,"es",1185303737646141440,"retweeted","NO SE SORPRENDA! Si en unos días más o semanas aparece una “Bomba” sospechosa en alguna comisaría, autoridad del Metro, ministro ó pdte. Guarde este tweet! Es la forma que tienen para desviar la atención a todo! ✊🏻 #EvasionMasivaTodoElDia",2946109617,7,0,11,0,0,1185303737646141440,"2019-10-18T21:16:47.000Z",NA,"No Error",0.08795626,0.005378723,0.047349896,0.011922873,"Chile",NA,NA,2019-10-18
1890899,FALSE,"es",1186382275518353408,"retweeted","Compañeros y compañeras, en este momento hay miles de personas en las calles manifestándose pacíficamente, como lo ha sido todos estos días. Y seguimos invitando a sumarse para decir #RenunciaPiñera ¡La paz social de nuestro país está en las manos del empresario! #EstoPasaEnChile",121604993,46,11,84,2,0,1186382275518353408,"2019-10-21T20:42:31.000Z",NA,"No Error",0.03734144,0.0016403198,0.026702631,0.006003422,"Chile",NA,NA,2019-10-21
3104,FALSE,"es",1185547839839096832,"retweeted","Hay #EstadoEmergencia porque hubo un gobierno incapaz de dar soluciones a la ciudadanía. Medios de comunicación en vez de informar, dedican toda la mañana a grabar cenizas. Todos sabemos que hubo barricadas, ¡Queremos información útil! #ChileDesperto",164835837,8,0,12,0,0,1185547839839096832,"2019-10-19T13:26:46.000Z",NA,"No Error",0.15048122,0.0041389465,0.11616662,0.006097279,"Chile",NA,NA,2019-10-19
926538,FALSE,"es",1189527654715809792,"retweeted","@hectormorals Ojalá que esto que empezó a pasar entre la gente, se mantenga; la posibilidad de dialogar de encontrarse, porque es la única forma en que comenzaremos a encontrar salidas humanas para todos y alternativas a este sistema perverso #NoViolencia #ChileDesperto",72627668,0,0,0,0,0,1189568650296135680,"2019-10-30T15:44:02.000Z",78434742,"No Error",0.06817148,0.005531311,0.03423163,0.012078222,"Chile",NA,NA,2019-10-30
2860261,FALSE,"es",1185404402884136960,"retweeted","Qué buena pregunta. ¿Qué ha hecho el gobierno hoy? #EvasionMasivaTodoElDia",96197368,0,1,2,0,0,1185404402884136960,"2019-10-19T03:56:48.000Z",NA,"No Error",0.045625936,0.0042915344,0.023479814,0.009463178,"Chile",NA,NA,2019-10-19
3522784,FALSE,"es",1187906054853709824,"retweeted","Frente Amplio subiéndose al carro de la victoria de #LaMarchaMasGrandeDeChile. Sepan que también son responsables de nuestro descontento.",182837510,2,0,2,0,0,1187906054853709824,"2019-10-26T01:37:28.000Z",NA,"No Error",0.112333365,0.0027656555,0.082619295,0.0059678215,"Chile",NA,NA,2019-10-26
174404,FALSE,"es",1185676245985648640,"retweeted","¿Cómo dijo? ¿Que van a perseguir a los delincuentes? Y penta, las colusiones, las classes de ética, Johnson'sy tantos otros casos ¿Ellos no son delincuentes? Me perdí. #EstadoEmergencia #ChileDesperto",93429480,0,0,2,0,0,1185676245985648640,"2019-10-19T21:57:00.000Z",NA,"No Error",0.14256015,0.005683899,0.09855611,0.006848133,"Chile",NA,NA,2019-10-19
2397539,FALSE,"es",1186646737911349248,"retweeted","@monlaferte @PaciOrmazabal Gracias por tanto, prometo escuchar tu música 🥰 #EstoPasaEnChileً",748925155468906496,0,0,0,0,0,1186754807895343104,"2019-10-22T21:22:49.000Z",118247792,"No Error",0.009613037,0.0007677078,0.008044879,0.0058739646,"Chile",NA,NA,2019-10-22
1914679,FALSE,"es",1186393362418622464,"retweeted","la superintendenta dice que nos dejemos de protestar para ver a nuestro verdadero enemigo que son las bajas pensiones bajos sueldos pero que no vamos a conseguir nada, ya que la plata que iban a usar para eso tendran que usarla para reparar los daños #EstoPasaEnChile #ChiledePie",1134660635462123520,0,0,1,0,0,1186393362418622464,"2019-10-21T21:26:34.000Z",NA,"No Error",0.057748068,0.0022792816,0.03768798,0.0059678215,"Chile",NA,NA,2019-10-21
51589,FALSE,"es",1185609343615623168,"retweeted","No sé si Ossandon acaba de ser populista pero acaba de decir la pura y santa verdad. Si un ministro dice que no pasa nada hora antes de que quedara la embarrada es que no sabe leer la situación #ChileDesperto",109404119,0,0,4,0,0,1185609343615623168,"2019-10-19T17:31:09.000Z",NA,"No Error",0.08716487,0.00207901,0.061976057,0.0059128017,"Chile",NA,NA,2019-10-19
1021325,FALSE,"es",1188597042328805376,"retweeted","#ChileNoSeRinde no se dejen callar con arreglitos .. a los empresarios presidentes no les gusta doblar el brazo",1187574081236951040,0,0,0,0,0,1188597042328805376,"2019-10-27T23:23:12.000Z",NA,"No Error",0.11316007,0.0038719177,0.07238392,0.00713294,"Chile",NA,NA,2019-10-27
63606,FALSE,"es",1.185617144329e+18,"retweeted","#ChileDespertó gracias estudiantes, gracias jóvenes de mi país por envalentonarnos y por decir y hacer lo que muchos no hicieron en años y así poder gritar #BASTA #ParoNacionalYa",217896720,0,1,1,1,0,1.185617144329e+18,"2019-10-19T18:02:09.000Z",NA,"No Error",0.112850055,0.0051116943,0.07808672,0.0074824756,"Chile",NA,NA,2019-10-19
927275,FALSE,"es",1189577903341789184,"retweeted","Gente de #Rancagua la marcha a qué hora es? #EstoNoHaTerminado #ChileDespertó",233259327,0,2,2,0,0,1189577903341789184,"2019-10-30T16:20:48.000Z",NA,"No Error",0.035691574,0.0025749207,0.021352753,0.0062785195,"Chile",NA,NA,2019-10-30
519616,FALSE,"es",1186399992816328704,"retweeted","@KarlaEnAccion comparto, todo el dinero que se invertirá en el metro se pudo haber invertido en mejorar la salud, las pensiones, y en tantas demandas sociales que Chile ha manifestado, esto se pudo evitar, pero por ustedes, no por nosotros, no de vuelta las cosas #ChileDesperto",1103315562812358656,0,0,0,0,0,1186399992816328704,"2019-10-21T21:52:55.000Z",59145115,"No Error",0.034984488,0.0012779236,0.025026767,0.005574594,"Chile",NA,NA,2019-10-21
5949,FALSE,"es",1185556882091577344,"retweeted","Le propongo a la @ceciperez1 que recupere los millones perdidos por la jornada de ayer #EvasionTodoElDia #ChileDesperto cobrando todos los perdonazos de impuestos y evasiones fiscales a #cencosud #piñera y los grandes conglomerados económicos chilenos 😘 para que no le duela",1163819664796897280,0,0,0,0,0,1185556882091577344,"2019-10-19T14:02:41.000Z",NA,"No Error",0.16851899,0.0076675415,0.13607834,0.0077025536,"Chile",NA,NA,2019-10-19
882939,FALSE,"es",1188951750394466304,"retweeted","@lcruzcoke @elfrente_amplio @PCdeChile Pregunta a tu gobierno que no quieren ver la realidad de la calle, no queremos maquillajes, que remos #NuevaConstitucion entendés? #ChileDespertó no culpes a los partidos,  la culpa es de uds. Llevan años y no ha  hecho nada!",740543975925383168,0,0,0,0,0,1188961349461823488,"2019-10-28T23:30:50.000Z",114838214,"No Error",0.17111848,0.005760193,0.16053712,0.006770459,"Chile",NA,NA,2019-10-28
2393096,FALSE,"es",1186751047651549184,"retweeted","#EstoPasaEnChileً Es verdad que se viene el ejercito israeli?",1138953235698462720,0,0,0,0,0,1186751047651549184,"2019-10-22T21:07:53.000Z",NA,"No Error",0.04711028,0.004043579,0.020063626,0.0068869707,"Chile",NA,NA,2019-10-22
486391,FALSE,"es",1186350216385052672,"retweeted","#EcuadorYaPudo #ChileDespertó Y para cuándo mi México?!?!",899710588779192320,0,0,0,0,0,1186350216385052672,"2019-10-21T18:35:07.000Z",NA,"No Error",0.06500591,0.0051498413,0.02982438,0.0075083673,"Chile",NA,NA,2019-10-21
