"id_obs","possibly_sensitive","lang","conversation_id","type","text","author_id","retweet_count","reply_count","like_count","quote_count","impression_count","id","created_at","in_reply_to_user_id","error","TOXICITY","SEVERE_TOXICITY","INSULT_EXPERIMENTAL","THREAT_EXPERIMENTAL","country","INSULT","THREAT","date"
2704234,FALSE,"es",1185320049269235712,"retweeted","y contra ustedes gobierno de mierda  #EvasionMasivaTodoElDia  El pueblo unido siempre........",118844852,0,0,0,0,0,1185320049269235712,"2019-10-18T22:21:36.000Z",NA,"No Error",0.7510937,0.16960317,0.71120167,0.009903334,"Chile",NA,NA,2019-10-18
1940628,FALSE,"es",1186403923906760704,"retweeted","LOS PERIODISTAS SON TAN WEONES, OYENDO QUE SON DISPAROS Y DICEN: SON LACRIMOGENAS! AWEONAOS! 5 AÑOS ESTUDIANDO PARA NADA CTM #ChileDespierta #EstoPasaEnChile",2409931663,0,0,5,0,0,1186403923906760704,"2019-10-21T22:08:32.000Z",NA,"No Error",0.7308154,0.35076234,0.7418356,0.013113883,"Chile",NA,NA,2019-10-21
2852347,FALSE,"es",1185399155985915904,"retweeted","@sebastianpinera devuelve las tierras de mi familia, Lago Caburga y Lago Colico son de mi familia, saca tu choza culia de ahí #EvasionMasivaTodoElDia",982680492276355072,0,0,0,0,0,1185399155985915904,"2019-10-19T03:35:57.000Z",13623532,"No Error",0.68408644,0.45895407,0.67254376,0.06626215,"Chile",NA,NA,2019-10-19
3622673,FALSE,"es",1188035895829684224,"retweeted","#ChileDespierto #LaMarchaMasGrandeDeChile no entiendo..o soy muy weona...q les pasa a estos inútiles políticos q no hacen algo en serio, #renunciochadwick de verdad me supera, son ineptos, flojos, corruptos, etc etc",602971009,0,0,0,0,0,1188035895829684224,"2019-10-26T10:13:24.000Z",NA,"No Error",0.6342749,0.23125283,0.6991143,0.011223801,"Chile",NA,NA,2019-10-26
1638662,FALSE,"es",1188573504670752768,"retweeted","@HawkerHunter797 @PSChile @camila_vallejo Qlo inepto. Eres el reflejo de lo que queremos destruir. Wns sin cerebro que juzgan solo lo que ven a simple vista. 👍🏻 #AcusacionConstitucionalAPiñera #EstoNoHaTerminado",129293667,0,0,0,0,0,1188904950690123776,"2019-10-28T19:46:43.000Z",1066278656501260288,"No Error",0.62702215,0.2391185,0.7090544,0.028897164,"Chile",NA,NA,2019-10-28
2656541,FALSE,"es",1185261684727918592,"retweeted","No y tranquilo piñera de mierda falta los pórticos del tag #metrosantiago #EvasionMasivaTodoElDia",2828963669,3,1,8,0,0,1185261684727918592,"2019-10-18T18:29:41.000Z",NA,"No Error",0.72028047,0.35515398,0.7344449,0.063675895,"Chile",NA,NA,2019-10-18
212243,FALSE,"es",1185694302174883840,"retweeted","RENUNCIA PIÑERA CULIAO!! NO TE LA PUDISTE CONTRA EL PUEBLO!! #RenunciaPiñeraCuliao #Manifestaciones #ChileDesperto #ChileEnResistencia",1071459919306592256,0,0,2,0,0,1185694302174883840,"2019-10-19T23:08:45.000Z",NA,"No Error",0.76523775,0.4583481,0.7827088,0.0347677,"Chile",NA,NA,2019-10-19
2854158,FALSE,"es",1185400606548287488,"retweeted","Qué clase de periodista es ese weón del Cox. Todos los demás periodistas en las calles reporteando, mientras él es el único weón DENTRO DE UN AUTO. No podís po, el peor de todos. #EvasionMasivaTodoElDia",1176256085495353344,1,0,1,0,0,1185400606548287488,"2019-10-19T03:41:42.000Z",NA,"No Error",0.64447093,0.23225145,0.7090544,0.035113025,"Chile",NA,NA,2019-10-19
1591278,FALSE,"es",1188582890755559424,"retweeted","Megavisión corta entrevista en vivo a Felipe Berrios, son una verguenza, canal de mierda nefasto @Mega  #EstoNoHaTerminadoً #Valparaiso",900667346,9,0,9,0,0,1188582890755559424,"2019-10-27T22:26:58.000Z",NA,"No Error",0.6744087,0.34927294,0.6677319,0.010032792,"Chile",NA,NA,2019-10-27
1388292,FALSE,"es",1188212801963253760,"retweeted","Es infumable ver como el PC y el FA toman partido en algo que es de la personas no de la política, cara de raja los wns #EstoNoHaTerminado",1132366052946526208,0,0,2,0,0,1188212801963253760,"2019-10-26T21:56:22.000Z",NA,"No Error",0.62702215,0.16960317,0.6675394,0.0100069,"Chile",NA,NA,2019-10-26
172701,FALSE,"es",1185675289877188608,"retweeted","#ChileDesperto #piñeraculiao le da con que son todos delincuentes, aweonao la grande, va meter en cana al 90% de la región metropolitana",1144963265195204608,0,0,1,0,0,1185675289877188608,"2019-10-19T21:53:12.000Z",NA,"No Error",0.687436,0.34938923,0.72756535,0.012596053,"Chile",NA,NA,2019-10-19
2288328,FALSE,"es",1186669353212796928,"retweeted","Broma que la karla Rubilar habla de la policía de 21 años como si fuera una pendeja de 5? Atraparon a los malos?? #RenunciaPiñeraCuliao #EstoPasaEnChile #ChileCambio",51989316,2,1,2,0,0,1186669353212796928,"2019-10-22T15:43:15.000Z",NA,"No Error",0.6342749,0.35368225,0.67254376,0.019228047,"Chile",NA,NA,2019-10-22
391120,FALSE,"es",1185984471604060160,"retweeted","#ChileSeCanso #ChileDesperto #PineraQlao #MilicosReCuliaos #Montaje NO OLVIDAMOS LOS SAQUEOS DE ❗TRANSNACIONALES ❗PENTA ❗SQM ❗PACOS❗ MILICOS❗ POLITICOS ❗AFP❗ ISAPRES❗ Y EMPRESARIOS VARIOS ❗ ¡¡ESOS SI QUE ROBARON!!",3098236168,1,0,1,0,0,1185984471604060160,"2019-10-20T18:21:47.000Z",NA,"No Error",0.6863638,0.46477664,0.68668073,0.022681303,"Chile",NA,NA,2019-10-20
