"id_obs","coder_1","coder_2","consensus","sec_create_1","sec_create_2","sec_review_1","sec_review_2","possibly_sensitive","lang","conversation_id","type","text","author_id","retweet_count","reply_count","like_count","quote_count","impression_count","id","created_at","in_reply_to_user_id","error","TOXICITY","SEVERE_TOXICITY","INSULT_EXPERIMENTAL","THREAT_EXPERIMENTAL","country","INSULT","THREAT","date","tox_60","tox_70","tox_80","tox_90","insult_60","insult_70","insult_80","insult_90"
101238,0,0,1,46,28,17,8,FALSE,"es",1295422384430886912,"retweeted","#17AJuntosContraLaImpunidad bueno fueee, a promover la cosa.",1244484859726376960,0,0,0,0,0,1295422384430886912,"2020-08-17T18:08:58.000Z",NA,"No Error",0.01237757,0.00074386597,0.010058892,0.006110225,"Argentina",NA,NA,"2020-08-17",0,0,0,0,0,0,0,0
119343,0,0,1,8,6,0,2,FALSE,"es",1295441733422063616,"quoted","Libres, responsables y republicanos 🇦🇷🇦🇷🇦🇷 #17AJuntosContraLaImpunidad",23677018,952,62,3123,20,0,1295441733422063616,"2020-08-17T19:25:52.000Z",NA,"No Error",0.015267765,0.00064373016,0.012680908,0.005780108,"Argentina",NA,NA,"2020-08-17",0,0,0,0,0,0,0,0
122343,0,0,1,8,6,1,0,FALSE,"es",1295306044944637952,"retweeted","@eugeconi @ulises2876 TODOS POR #17AJuntosContraLaImpunidad",139521663,0,0,0,0,0,1295443117009764352,"2020-08-17T19:31:21.000Z",615119246,"No Error",0.010429831,0.0006198883,0.008557882,0.006265574,"Argentina",NA,NA,"2020-08-17",0,0,0,0,0,0,0,0
131878,0,0,1,4,52,0,1,FALSE,"es",1295447530923319296,"retweeted","#17AJuntosContraLaImpunidad  Larreta estás desviando el tránsito para que no quedemos en la 9 de Julio .",1191874719357833216,1,0,2,0,0,1295447530923319296,"2020-08-17T19:48:54.000Z",NA,"No Error",0.03192045,0.0009822845,0.023995465,0.0058577824,"Argentina",NA,NA,"2020-08-17",0,0,0,0,0,0,0,0
132171,0,0,1,6,15,0,1,FALSE,"es",1295447401575194624,"retweeted","Que nos vea el mundo entero. Somos los ciudadanos de bien que amamos nuestro País.   ARGENTINA 🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷#17AJuntosContraLaImpunidad",979750171348291584,0,0,0,0,0,1295447401575194624,"2020-08-17T19:48:23.000Z",NA,"No Error",0.01237757,0.0009822845,0.009127886,0.0061231707,"Argentina",NA,NA,"2020-08-17",0,0,0,0,0,0,0,0
133658,0,0,1,4,10,0,2,FALSE,"es",1295444376500482048,"retweeted","@montes_karlos @osvaldobazan @elcoya1977 Vamos Tucumán!! #17AJuntosContraLaImpunidad",2742055809,2,0,5,0,0,1295448267971530752,"2020-08-17T19:51:50.000Z",1748533537,"No Error",0.01419965,0.00077724457,0.0114269,0.006058442,"Argentina",NA,NA,"2020-08-17",0,0,0,0,0,0,0,0
162827,0,0,1,4,16,0,2,FALSE,"es",1295460002321305600,"retweeted","#17AJuntosContraLaImpunidad Ya van perdiendo hasta la calle.",1015753929563557888,3,0,1,0,0,1295460002321305600,"2020-08-17T20:38:27.000Z",NA,"No Error",0.02685301,0.0010538101,0.019999169,0.006220264,"Argentina",NA,NA,"2020-08-17",0,0,0,0,0,0,0,0
163858,0,0,1,7,6,1,0,FALSE,"es",1295460375455051776,"retweeted","Cómo molesta lo espontáneo, cosa que NUNCA van a conseguir #17AJuntosContraLaImpunidad",2850782188,1,0,5,0,0,1295460375455051776,"2020-08-17T20:39:56.000Z",NA,"No Error",0.03875561,0.0011777878,0.028612386,0.0058318907,"Argentina",NA,NA,"2020-08-17",0,0,0,0,0,0,0,0
165024,0,0,1,23,8,2,0,FALSE,"es",1295461096778760192,"retweeted","Larreta, gracias por quedarte en casa, habrías sido la única manchita en tremendo día patrio. Senadores y diputados de JxC, nuestro mandato a Uds. está claro. #17AJuntosContraLaImpunidad",351050664,1,0,0,0,0,1295461096778760192,"2020-08-17T20:42:48.000Z",NA,"No Error",0.10783285,0.0032997131,0.071750276,0.006653947,"Argentina",NA,NA,"2020-08-17",0,0,0,0,0,0,0,0
168227,0,0,1,8,7,2,0,FALSE,"es",1295462668250288128,"retweeted","#17AJuntosContraLaImpunidad @JoseLuisRamonOk  José, en el centro de Mendoza había este Cartel. No apoyes la reforma judicial",66801246,0,0,1,0,0,1295462668250288128,"2020-08-17T20:49:03.000Z",NA,"No Error",0.029092113,0.0009727478,0.021546122,0.0056959605,"Argentina",NA,NA,"2020-08-17",0,0,0,0,0,0,0,0
168269,0,0,1,7,14,0,0,FALSE,"es",1295462646720933888,"retweeted","#17AJuntosContraLaImpunidad #17APorLaRepublica pena por la gente que reacciona así: 😡😆 a las fotos y videos en Facebook o que se enfoca en la marca de los vehículos que con esfuerzo compraron",233376864,0,0,1,0,0,1295462646720933888,"2020-08-17T20:48:58.000Z",NA,"No Error",0.07212844,0.0017547607,0.057890166,0.0058448366,"Argentina",NA,NA,"2020-08-17",0,0,0,0,0,0,0,0
186993,0,0,1,33,10,20,0,FALSE,"es",1295473465932296192,"retweeted","De acuerdo con la marcha y no dudo que cristina dbe ser juzgada como cualquier ciudadano. Pero el escrache en frente d su depto no me parece bien. Hay que ser .mejores que ellos por mas que cueste  #17AJuntosContraLaImpunidad",1159590505061240832,0,1,0,0,0,1295473465932296192,"2020-08-17T21:31:57.000Z",NA,"No Error",0.104795754,0.0022697449,0.07365121,0.007145886,"Argentina",NA,NA,"2020-08-17",0,0,0,0,0,0,0,0
191022,0,0,1,8,11,3,0,FALSE,"es",1295475731217121280,"retweeted","#17AJuntosContraLaImpunidad o seremos libres o no seremos nada! Viva la libertad carajo🇦🇷💪",1054022134966743040,0,0,0,0,0,1295475731217121280,"2020-08-17T21:40:57.000Z",NA,"No Error",0.17371799,0.0074005127,0.05086332,0.007314181,"Argentina",NA,NA,"2020-08-17",0,0,0,0,0,0,0,0
211928,0,0,1,6,3,1,0,FALSE,"es",1295490114265677824,"retweeted","Hagan el duelo chicxs  #17AJuntosContraLaImpunidad",248736232,0,0,0,0,0,1295490114265677824,"2020-08-17T22:38:06.000Z",NA,"No Error",0.022610499,0.0013256073,0.013516913,0.007365964,"Argentina",NA,NA,"2020-08-17",0,0,0,0,0,0,0,0
211947,0,0,1,8,6,2,0,FALSE,"es",1295490098335756288,"retweeted","Que inconscientes los que fueron a la marcha hermano  #17AJuntosContraLaImpunidad",2562551416,0,0,1,0,0,1295490098335756288,"2020-08-17T22:38:03.000Z",NA,"No Error",0.05378982,0.001115799,0.043250903,0.005686251,"Argentina",NA,NA,"2020-08-17",0,0,0,0,0,0,0,0
221972,0,0,1,5,2,1,0,FALSE,"es",1295498722273624064,"retweeted","#17AJuntosContraLaImpunidad q orgullo argentinos",3313113743,0,0,0,0,0,1295498722273624064,"2020-08-17T23:12:19.000Z",NA,"No Error",0.026735162,0.0016975403,0.01617693,0.0062008454,"Argentina",NA,NA,"2020-08-17",0,0,0,0,0,0,0,0
226174,0,0,1,5,3,1,0,FALSE,"es",1295503801156341760,"retweeted","Orgullo del pueblo Republicano Argentino!!!!!! #17AJuntosContraLaImpunidad",995067090242588672,0,0,0,0,0,1295503801156341760,"2020-08-17T23:32:30.000Z",NA,"No Error",0.01847211,0.0008201599,0.012832909,0.0058739646,"Argentina",NA,NA,"2020-08-17",0,0,0,0,0,0,0,0
274723,0,0,1,9,3,1,0,FALSE,"es",1295844978862829568,"retweeted","@clarincom Estemos atentos .... yo no les creo...#17APorLaRepublica #17a #17AJuntosContraLaImpunidad",4398810382,0,0,0,0,0,1295862665995116544,"2020-08-18T23:18:30.000Z",8105922,"No Error",0.019351736,0.00084400177,0.014428918,0.006149062,"Argentina",NA,NA,"2020-08-18",0,0,0,0,0,0,0,0
286797,0,0,1,8,4,2,0,FALSE,"es",1292939337336791040,"quoted","#17AHacemosHistoria por la libertad justicia inseguridad #QueSeVayanTodos",1277899204174721024,0,0,0,0,0,1292939337336791040,"2020-08-10T21:42:14.000Z",NA,"No Error",0.147767,0.01302678,0.0836065,0.044925548,"Argentina",NA,NA,"2020-08-10",0,0,0,0,0,0,0,0
297735,0,0,1,5,3,0,0,FALSE,"es",1296868709311614976,"retweeted","@DanannRock Por eso #QueSeVayanTodos",776138373106982912,0,0,0,0,0,1296869748354015232,"2020-08-21T18:00:17.000Z",1078995180,"No Error",0.09112182,0.006713867,0.036104713,0.025961896,"Argentina",NA,NA,"2020-08-21",0,0,0,0,0,0,0,0
314382,0,0,1,8,4,4,0,FALSE,"es",1296912264784748544,"retweeted","@CCC_Arg muy conveniente #JusticiaPorSolange #QueSeVayanTodos",146676541,1,0,1,0,0,1296912945402851328,"2020-08-21T20:51:56.000Z",158116807,"No Error",0.19409354,0.017674843,0.16124763,0.091630474,"Argentina",NA,NA,"2020-08-21",0,0,0,0,0,0,0,0
327702,0,0,1,12,8,0,0,FALSE,"es",1296889900051173376,"retweeted","@PregoneroL Encontraremos una salida, tenemos gente honesta y capaz. Hay derecho a equivocarse y estará la posibilidad de corregir y cambiar mientras haya buena fe en las personas que asuman el desafío. Hoy quienes se apoderaron de nuestra vida, NO TIENEN buena fe. Sí, #QueSeVayanTodos",351050664,0,0,0,0,0,1296947993464188928,"2020-08-21T23:11:12.000Z",1087788692301926400,"No Error",0.11067997,0.0048446655,0.07333439,0.011146127,"Argentina",NA,NA,"2020-08-21",0,0,0,0,0,0,0,0
333330,0,0,1,7,24,0,0,FALSE,"es",1296963061090258944,"retweeted","Hartazgo de los ciudadanos honestos y defensores de la República. Llegó la hora de exigir #QUESEVAYANTODOS      #QUESEVAYANTODOS    #QUESEVAYANTODOS",4705030808,1,0,1,0,0,1296963061090258944,"2020-08-22T00:11:04.000Z",NA,"No Error",0.15324512,0.015092585,0.081508696,0.04524883,"Argentina",NA,NA,"2020-08-22",0,0,0,0,0,0,0,0
364102,0,0,1,8,5,0,0,FALSE,"es",1297918481279614976,"retweeted","@Winston_Dunhill En el 2001 tuvimos una chances no desperdiciemos está #QueSeVayanTodos",1258011258110054400,0,1,1,0,0,1297968311666450432,"2020-08-24T18:45:35.000Z",1114590254,"No Error",0.112746716,0.007858276,0.060927123,0.026479885,"Argentina",NA,NA,"2020-08-24",0,0,0,0,0,0,0,0
365418,0,0,1,7,3,0,0,FALSE,"es",1298030496870531072,"quoted","@USDtin Un lindo paseo por la plaza..a pedir #QueSeVayanTodos",1060831160685748224,0,0,0,0,0,1298085499555459072,"2020-08-25T02:31:15.000Z",1161990794871496704,"No Error",0.051810697,0.003528595,0.029383656,0.011146127,"Argentina",NA,NA,"2020-08-25",0,0,0,0,0,0,0,0
368356,0,0,1,4,2,0,0,FALSE,"es",1298627024941187072,"retweeted","@pabloduggan Te tiro una: #QueSeVayanTodos",1452514010,0,0,0,0,0,1298646704267436032,"2020-08-26T15:41:16.000Z",145677457,"No Error",0.19409354,0.018449519,0.08533409,0.091630474,"Argentina",NA,NA,"2020-08-26",0,0,0,0,0,0,0,0
368785,0,0,1,18,5,7,0,FALSE,"es",1298762825553399808,"quoted","@dipypapa creo que tu mensaje es muy valioso para la Republica que queremos construir. Pero me atrevo a sujerirte que no nos sirve el #Quesevayantodos necesitamos una mínima institucionalidad para comenzar a construir. Vos podes ayudar para que votemos mejor.",716071198912811008,0,0,0,0,0,1298762825553399808,"2020-08-26T23:22:42.000Z",274295589,"No Error",0.030034892,0.001001358,0.022255141,0.005854546,"Argentina",NA,NA,"2020-08-26",0,0,0,0,0,0,0,0
